Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1961","1961","gigagrams","197.7144","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1962","1962","gigagrams","226.0424","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1963","1963","gigagrams","260.1913","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1964","1964","gigagrams","299.579","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1965","1965","gigagrams","339.7427","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1966","1966","gigagrams","384.5632","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1967","1967","gigagrams","434.8164","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1968","1968","gigagrams","487.5919","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1969","1969","gigagrams","556.4718","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1970","1970","gigagrams","624.5756","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1971","1971","gigagrams","694.2316","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1972","1972","gigagrams","780.3799","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1973","1973","gigagrams","870.2148","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1974","1974","gigagrams","958.4975","Fc","Calculated data"
"EI","Emissions intensities","159","Nigeria","7231","Emissions (CO2eq)","977","Meat, sheep","1975","1975","gigagrams","1043.6757","Fc","Calculated data"
