Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","1035.0946","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","957.8391","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","995.7137","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","1007.9799","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","1250.0758","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","1185.3017","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","934.3827","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","1245.9871","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","988.6122","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","803.9737","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","913.0783","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","966.0166","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","874.7733","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","864.4439","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","842.4939","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","915.4454","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","953.7504","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","1065.4373","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1979","1979","gigagrams","1024.1196","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","1017","Meat, goat","1980","1980","gigagrams","1009.4862","Fc","Calculated data"
