Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1961","1961","gigagrams","99.1488","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1962","1962","gigagrams","104.1063","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1963","1963","gigagrams","99.1488","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1964","1964","gigagrams","111.5424","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1965","1965","gigagrams","123.936","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1966","1966","gigagrams","131.3722","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1967","1967","gigagrams","111.5424","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1968","1968","gigagrams","111.5424","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1969","1969","gigagrams","128.8935","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1970","1970","gigagrams","146.2445","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1971","1971","gigagrams","163.5955","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1972","1972","gigagrams","168.553","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1973","1973","gigagrams","173.5104","Fc","Calculated data"
"EI","Emissions intensities","101","Indonesia","7231","Emissions (CO2eq)","882","Milk, whole fresh cow","1974","1974","gigagrams","213.1699","Fc","Calculated data"
