Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1961","1961","gigagrams","773.2548","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1962","1962","gigagrams","691.32","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1963","1963","gigagrams","609.1684","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1964","1964","gigagrams","547.5078","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1965","1965","gigagrams","558.4459","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1966","1966","gigagrams","541.1043","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1967","1967","gigagrams","620.7819","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1968","1968","gigagrams","615.392","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1969","1969","gigagrams","647.1636","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1970","1970","gigagrams","602.3675","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1971","1971","gigagrams","617.7354","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1972","1972","gigagrams","589.2123","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1973","1973","gigagrams","577.3534","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1974","1974","gigagrams","517.2728","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1975","1975","gigagrams","560.6232","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1976","1976","gigagrams","548.243","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1977","1977","gigagrams","522.8957","Fc","Calculated data"
"EI","Emissions intensities","203","Spain","7231","Emissions (CO2eq)","1017","Meat, goat","1978","1978","gigagrams","509.4677","Fc","Calculated data"
